image_path,caption_1,caption_2,caption_3,caption_4,caption_5,category
/content/drive/MyDrive/Images/Dogs/fee91c554baf1b77c67ff431acfe0eaa.jpg,My best friend has a wagging tail.,Will wag for snacks.,"Just me, my pup, and the world.",Tail wags and joyful moments.,Pawsitively the best companion.,Dogs
/content/drive/MyDrive/Images/Dogs/a4c41beb542fa3ea39884aa5a8ddfbb0.jpg,The bark side is strong.,Forever floof.,Trust issues? Not with this tail wag.,All ears for walkies.,Pawsitively the best friend.,Dogs
/content/drive/MyDrive/Images/Dogs/ecc1057f57dd6012732d9c3884d2130c.jpg,I’m only barking when necessary.,Can’t have a ruff day with this face.,Always down for a pup-cation.,"Full belly, full heart.",My dog's love is my guiding light.,Dogs
/content/drive/MyDrive/Images/Dogs/ea13a0e8b0aadc5d9997399c595fcd0f.jpg,Dogs leave paw prints on your soul.,Paw-lease pet me again.,The most paw-sitive influence in my life.,That tail tells all.,Cuteness overload: activated.,Dogs
/content/drive/MyDrive/Images/Dogs/2e5a6a8d28efb3e1a2dce7437e9475d0.jpg,"Furry friend, boundless love.","Hugs, not growls.",Paws what you're doing and pet me.,That face = instant joy.,Good vibes and muddy paws.,Dogs
/content/drive/MyDrive/Images/Dogs/cf2446bf98dbe47bd4e2281333380ac7.jpg,Fur-bulous in every way.,Don’t stop retrievin’!,Just sniffing the flowers (and everything else).,Stay fetchy.,It’s a pup thing—you wouldn’t understand.,Dogs
/content/drive/MyDrive/Images/Dogs/047bf9edcdbdfe0d20e46be86576171f.jpg,My fur-iend is better than yours.,Forever fetching happiness.,Walk like everyone’s watching.,Our bond is fur real.,"Paws down, best companion ever.",Dogs
/content/drive/MyDrive/Images/Dogs/93fc82e2e7fbf481857297794b010dde.jpg,Trust issues? Not with this tail wag.,Life’s too short to not own a dog.,"More wag, less drag.",This dog’s got me wrapped.,Every meal is a shared experience.,Dogs
/content/drive/MyDrive/Images/Dogs/908a604e5972e7575bd49539c2870a1c.jpg,Walking through life with my dog.,The fluff is real.,Here for the snacks and snuggles.,"Smol legs, big leaps.","Bark less, play more.",Dogs
/content/drive/MyDrive/Images/Dogs/7c2459eafde40dd8ce07ce00065dbb3f.jpg,The floof runs deep.,Just me and my best fur-iend.,Proof that love has a wagging tail.,Paw-dorable and they know it.,Heart stolen by a tail-wagger.,Dogs
/content/drive/MyDrive/Images/Dogs/1f7577de5824ac90fec644db469adbf7.jpg,Sniffed something great today.,Walks are my therapy.,Paws what you're doing and pet me.,"Chase dreams, and tennis balls.","All bark, all charm.",Dogs
/content/drive/MyDrive/Images/Dogs/03fd8c88b2b2050ec73d44c9e4faac23.jpg,Just a dog dad/mom doing their best.,Every dog has its day—and today is mine!,I'm on dog time now.,Licks speak louder than words.,"Small dog, big bark.",Dogs
/content/drive/MyDrive/Images/Dogs/d9be8bc18a27caf39dc9a789f5eae8d3.jpg,Wiggles and wags only.,Best view? My dog’s face.,Life is short — fetch the stick.,Too paw-some for words.,Welcome to the fur zone.,Dogs
/content/drive/MyDrive/Images/Dogs/00182d4953ba6ca237910b204a796d14.jpg,"Full belly, full heart.",My dog completes my world.,The leash is symbolic.,My dog's love is my guiding star.,My dog's love is my safe haven.,Dogs
/content/drive/MyDrive/Images/Dogs/0d4213de0ebd7e0973bbc9d1d1bea6f6.jpg,Pawlease hold your applause.,Life goal: be half the person my dog thinks I am.,This tail never lies.,That face = instant joy.,Out of treats = code red.,Dogs
/content/drive/MyDrive/Images/Dogs/823009e309bb9ebcbc85f75b28dad792.jpg,I work hard so my dog can live their best life.,"Hugs, not growls.",Happiness is spelled D-O-G.,A house isn't a home without paw prints.,Dog’s day out!,Dogs
/content/drive/MyDrive/Images/Dogs/168d1c3de6e5c5087242a261e0b37891.jpg,The wag is strong with this one.,Will sit for snacks.,Tail wags and cherished memories.,My dog's eyes speak volumes.,Pawfection in motion.,Dogs
/content/drive/MyDrive/Images/Dogs/b4fd4cb805cb9120c529fa61c389fe3b.jpg,"Shake, sit, love.",All snuggled up and no place to go.,Waggin' rights achieved.,"Muddy paws, happy hearts.",My therapist barks.,Dogs
/content/drive/MyDrive/Images/Dogs/cf3668c6076d21589bbff1866a8f7bab.jpg,The dog days are far from over.,"Where the paws are, that’s home.",Paws off my treat stash.,My dog = my constant.,Will wag for snacks.,Dogs
/content/drive/MyDrive/Images/Dogs/71d7e0cfd3a9e5abc571aa5e71fc6537.jpg,Slobber is just puppy love.,Pawsitively the best teammate.,I woof you to the moon and back.,My dog's companionship is my happiness.,In a serious relationship with my dog.,Dogs
/content/drive/MyDrive/Images/Dogs/8712cc6f7acb204587786fc023e6363d.jpg,Can I pet your dog?,Fetch is life.,Just a girl and her dog against the world.,Only barking for the ‘gram.,Can’t have a ruff day with this face.,Dogs
/content/drive/MyDrive/Images/Dogs/567fac70adc9b4c8f12a8de362c09b56.jpg,Be-leash in yourself.,Fur-ever chasing tail.,My dog's loyalty is my peace.,Dog cuddles > everything else.,"Wag hard, play harder.",Dogs
/content/drive/MyDrive/Images/Dogs/2809b29334e5512fc8e886eb49dd9a0e.jpg,My dog's love is my safe haven.,My dog’s face = instant serotonin.,"Stay wild, wag often.","Furry friend, infinite joy.",Happiness is spelled D-O-G.,Dogs
/content/drive/MyDrive/Images/Dogs/1c5f3bea3ddd29ce92ef68cbbdb586e5.jpg,"Love me, pet me, never leave me.",Waggin' rights achieved.,I woof you to the moon and back.,Will bark for treats.,Can’t stop pawing at your heart.,Dogs
/content/drive/MyDrive/Images/Dogs/c9e1a9e6c4b5b37a859861fe9b599441.jpg,One bark at a time.,I didn't choose the dog life — it chose me.,Dogs make hearts whole.,That face = instant joy.,Smiling with all four paws.,Dogs
/content/drive/MyDrive/Images/Dogs/810d1ff2b190d333a2fea026078d93d2.jpg,Keeping it pawsitive.,"Big personality, tiny paws.",Puppy power!,Life's better with a dog by your side.,Stay fetchy.,Dogs
/content/drive/MyDrive/Images/Dogs/e806736050b364829d9a586d35c924ac.jpg,Walk like everyone’s watching.,Pawsome adventures await.,Hairy but happy.,That face = instant joy.,Dog life = best life.,Dogs
/content/drive/MyDrive/Images/Dogs/e15d7ccdc4200370b8c1833f50347d81.jpg,That face = instant joy.,My dog's love is my guiding light.,Just me and my best fur-iend.,Tail-wagging adventures with my best friend.,This is my fur-ever friend.,Dogs
/content/drive/MyDrive/Images/Dogs/74b3549864a1ab674c73b2c4c28175a5.jpg,The cutest therapist has fur and four legs.,"Bark less, play more.",Calm? Nope. Cute? Always.,"Big personality, tiny paws.",Paw prints on my heart forever.,Dogs
/content/drive/MyDrive/Images/Dogs/5ad5d59375010e74b73cda3667d2e30b.jpg,Out of treats = code red.,Can’t resist those puppy dog eyes.,Wiggles and wags only.,One love. One leash.,Dogs make everything better.,Dogs
/content/drive/MyDrive/Images/Dogs/382f8d2a591b4350fa4fc57cc9bd3855.jpg,Purebred cuddle bug.,"The bigger the ears, the bigger the love.",You’ve got a fur-iend in me.,"Small dog, big bark.",Fur-iendship goals.,Dogs
/content/drive/MyDrive/Images/Dogs/8a7a5acaf555fc783c2699c403d28f40.jpg,This dog’s got jokes.,Dog’s got more style than me.,I’m only barking when necessary.,Dogtor's orders: more snuggles.,Just a girl and her dog against the world.,Dogs
/content/drive/MyDrive/Images/Dogs/b8dfd705f2171462b5d32b078768bb7e.jpg,Pawsitively the best co-pilot.,Leash the beast!,Love you to the dog park and back.,I'm on dog time now.,"Live, bark, love.",Dogs
/content/drive/MyDrive/Images/Dogs/1933c90376a546c397b387fdb2239012.jpg,All ears for walkies.,Woofing into the weekend.,My dog's eyes speak volumes.,My dog's love is my motivation.,Pawsitively the best friend.,Dogs
/content/drive/MyDrive/Images/Dogs/40549734240799a1181146aa5b504f94.jpg,Forever team doggo.,Happiness starts with a wet nose.,The pawsibilities are endless.,Life’s better in paw-jamas.,Dog days are the best days.,Dogs
/content/drive/MyDrive/Images/Dogs/2e22abce96aed7df42d69ac8d24eaea6.jpg,We woof together.,Life is short — fetch the stick.,This leash means freedom.,My dog's love is fur-ever.,Mood: belly rubs and tail wags.,Dogs
/content/drive/MyDrive/Images/Dogs/2b45c401cbde4f2a727946e9d41dfe65.jpg,Will wag for snacks.,"Where the dog is, that’s where I belong.",My dog walks me.,"Less stress, more pets.",Every meal is a shared experience.,Dogs
/content/drive/MyDrive/Images/Dogs/caf35ef712bf317d7472147142bf012a.jpg,"When life gets ruff, pet a pup.",Forever fetching happiness.,Woofing into the weekend.,Be the person your dog thinks you are.,No outfit is complete without dog fur.,Dogs
/content/drive/MyDrive/Images/Dogs/5f8974aa4c53d91ef2a7234e4a9a44f8.jpg,I'm on dog time now.,One bark at a time.,My dog walks me.,My pup is my pride.,Dogs = best decision ever.,Dogs
/content/drive/MyDrive/Images/Dogs/4667ce6f0bf913cc43d75a73edada06e.jpg,Woofin' wonderful days.,"All bark, all charm.",Paw-some from nose to tail.,Canine and chill.,Just a little fluffball of love.,Dogs
/content/drive/MyDrive/Images/Dogs/20c29475e4eb4ee95fe1120d2f1c3904.jpg,Leash your love.,One bark at a time.,"Eat, sleep, bark, repeat.",Paw-sitive mental attitude.,Just me and my best fur-iend.,Dogs
/content/drive/MyDrive/Images/Dogs/e4fb7d55ce7a5135843712f0649220cd.jpg,Looking pawsh.,Just a pup and their person.,My dog's companionship is priceless.,Pawsitively the best part of my life.,Welcome to the fur zone.,Dogs
/content/drive/MyDrive/Images/Dogs/8fe264d179cf6e1ac04f909ace237f78.jpg,Ball is life.,Love unleashed.,Cuteness? Over-furmed.,Good vibes and paw prints.,I work hard so my dog can live their best life.,Dogs
/content/drive/MyDrive/Images/Dogs/69339d20edb484ecb97f929418cc3871.jpg,The paw-trait of loyalty.,My dog's love is the leash I never want to break.,I’m fluent in woofs.,Warning: excessive tail wagging.,A little bark and a whole lot of love.,Dogs
/content/drive/MyDrive/Images/Dogs/f55947a4b8c20fd6b52af40414782cad.jpg,Nap buddy for life.,The goodest boy/girl.,Home is where the dog is.,"You sniff, I follow.","Muddy paws, happy hearts.",Dogs
/content/drive/MyDrive/Images/Dogs/f3c304da880b607c792ebcf860b87447.jpg,Nap like no one’s watching.,"Wet nose, warm heart.",Fur real love.,"Furry friend, boundless love.",My dog's loyalty is my foundation.,Dogs
/content/drive/MyDrive/Images/Dogs/075f5b76eb194820cbe777a1ba432291.jpg,Can’t handle the cute.,Bark vibes only.,Licks speak louder than words.,Life’s better with nose boops.,"Furry friend, forever love.",Dogs
/content/drive/MyDrive/Images/Dogs/44e8d3806ac6f6f9ca2077dc2df6d4a8.jpg,"Wet nose, warm heart.",Never met a biscuit I didn’t like.,Paws and enjoy the little things.,"Eat, sleep, bark, repeat.",Pawsitively the best cuddle buddy.,Dogs
/content/drive/MyDrive/Images/Dogs/54bc6e4bb08aea9ad2f7169f0b719c00.jpg,My dog is my sunshine on a cloudy day.,Bork squad assemble!,My fur-mily.,"Loud barks, louder love.",Puppy power!,Dogs
/content/drive/MyDrive/Images/Dogs/053a6d1ef335277e8ed86d2b70b06b5a.jpg,Happiness starts with a wet nose.,Tail wags and shared adventures.,Puppy power!,My dog thinks I'm a genius.,Pawsitively the best partner in crime.,Dogs
/content/drive/MyDrive/Images/Dogs/db3e38d03ffd8174ffa7f79459137cac.jpg,Fur-bulous in every way.,My dog’s face = instant serotonin.,My dog's love is my constant companion.,Tail wags and happy hearts.,Every meal is a shared experience.,Dogs
/content/drive/MyDrive/Images/Dogs/455f9a2aaea0082c2e6d878cddd5a546.jpg,"More wiggles, less worries.",Pupperazzi ready.,My dog’s face = instant serotonin.,"Bark less, play more.",Certified good boy.,Dogs
/content/drive/MyDrive/Images/Dogs/d71ce2982ee7a0a3d6a3168c9e964c21.jpg,Paws and enjoy the little things.,Dogs > people. Always.,The wag is strong with this one.,Roll over responsibilities.,My dog taught me patience… sort of.,Dogs
/content/drive/MyDrive/Images/Dogs/71d2de610a38c94232506d2b18515508.jpg,Pup-stagram ready.,My dog's love is my daily inspiration.,My dog's love is my motivation.,Never not shedding.,Snoopin' with my snooter.,Dogs
/content/drive/MyDrive/Images/Dogs/cf91c0e0a0470955e56a34f39bebf5f8.jpg,My dog is my alarm clock.,Slobbery kisses included.,Certified belly rub specialist.,My dog's smile brightens my day.,I’m fluent in woofs.,Dogs
/content/drive/MyDrive/Images/Dogs/dc084cc6529232f55b95dcebf819b7f8.jpg,Floof incoming.,Dogs: furst-class companions.,"Dog hair, don't care.",Furry hugs and wagging tails.,"If lost, return to my dog.",Dogs
/content/drive/MyDrive/Images/Dogs/07deb3af0ba031872fa8e0b7e06180de.jpg,"Leave paw prints, take memories.",One bark at a time.,"Can't stop, won't paws.",Forever paw-tners.,Nap like no one’s watching.,Dogs
/content/drive/MyDrive/Images/Dogs/00b2afb5bc22d7cc31fd5e71da5217e5.jpg,Happiness starts with a wet nose.,Woofing into the weekend.,Sniffing out adventures together.,Dogtor's orders: more snuggles.,Don’t mess with the floof.,Dogs
/content/drive/MyDrive/Images/Dogs/66748e48e4a28e43c177b04b2040aa69.jpg,Pawsitively in love with this pup.,Happiness is homemade… and covered in fur.,Pawsitively the best support system.,Bork squad assemble!,"You can't buy love, but you can adopt it.",Dogs
/content/drive/MyDrive/Images/Dogs/ee356cf98754dc6a065922a72be675d4.jpg,Paw-lease pet me again.,"Muddy paws, happy hearts.",My dog's companionship is my greatest gift.,Don’t mess with the floof.,Don’t stop retrievin’!,Dogs
/content/drive/MyDrive/Images/Dogs/ee5e670cbc53b893dd991641c0cbf47c.jpg,Follow my paw prints.,"Smol pup, big dreams.",My dog's love is my guiding star.,Tailor-made for snuggles.,Dog logic: everything is a toy.,Dogs
/content/drive/MyDrive/Images/Dogs/c89b8e86cf5f214b4452964271dcbc10.jpg,Fur-bulous in every way.,Born to fetch.,Puppy power!,"Stay wild, wag often.",My dog's love is my constant companion.,Dogs
/content/drive/MyDrive/Images/Dogs/fa21aa45894a059aea5aad09717aaa1b.jpg,Furr-ever in love.,Wiggles and wags only.,A house isn't a home without paw prints.,"Adopt, don't shop!",Floof incoming.,Dogs
/content/drive/MyDrive/Images/Dogs/17af9f9b8573507f7123b9676676fbd3.jpg,Pawlease hold your applause.,Out of treats = code red.,Only barking for the ‘gram.,"Live, bark, love.",Furry hugs and wagging tails.,Dogs
/content/drive/MyDrive/Images/Dogs/92902ae2ebcb37f78f6ce3ab020e2a0d.jpg,Trust issues? Not with this tail wag.,"All bark, all charm.",Pawsitively the best friend.,Fur real love.,Pup-approved plans only.,Dogs
/content/drive/MyDrive/Images/Dogs/9ebacfd8a8a9f2b9c543e86f126fb083.jpg,"Furry friend, everlasting bond.",Can’t handle the cute.,Sidekick with a snout.,This leash means freedom.,This pup is my happy place.,Dogs
/content/drive/MyDrive/Images/Dogs/7b8986b36c58c3b3f242cbc085fbf6c8.jpg,Dog logic: everything is a toy.,"Sniff first, ask questions later.",My paw-dner in crime.,"Bark first, think later.",Forever team doggo.,Dogs
/content/drive/MyDrive/Images/Dogs/4448e7efc90286a8dff112211dea9750.jpg,Home is where my dog’s nose is.,Tail wags and shared dreams.,Paw-sitive mental attitude.,My dog's smile brightens my day.,My dog's cuddles are the best therapy.,Dogs
/content/drive/MyDrive/Images/Dogs/aa4cd6211547696cad15132938dff6c8.jpg,Furry hugs and wagging tails.,Living leash-free (mentally).,Life’s better with nose boops.,Official toy destroyer.,Tail-wagging good times ahead.,Dogs
/content/drive/MyDrive/Images/Dogs/8297dee2d3f3e92a18cca6191d35938d.jpg,"Big personality, tiny paws.","If I fits, I zoom.",Pawsitively the best part of my journey.,My shadow barks.,The pawsibilities are endless.,Dogs
/content/drive/MyDrive/Images/Dogs/e2b69ff42e9625c0bc2d11dfc2c5362c.jpg,No shoes? No leash? No problem.,"I sniff, therefore I am.",Forever fetching love.,Paws and reflect on the good times.,I herd you like dog pics.,Dogs
/content/drive/MyDrive/Images/Dogs/43c12b0f508835b766c0c3860cf3ece6.jpg,Just a little fluffball of love.,Nap like no one’s watching.,Pawsitively the best companion.,Pawsitively the best cuddle buddy.,Dog = purest soul.,Dogs
/content/drive/MyDrive/Images/Dogs/1d3e3d4f309949188d4211d0caeeacdc.jpg,"No leash, no limits (but just kidding, always leashed).",Certified good boy.,My fur-iend is better than yours.,Can’t handle the cute.,Fur-bulous in every way.,Dogs
/content/drive/MyDrive/Images/Dogs/c2004c9221d64cee8215cd68f14d01ee.jpg,My dog is my sunshine on a cloudy day.,Walking through life with my dog.,Built for belly rubs.,Every meal is a shared experience.,All snuggled up and no place to go.,Dogs
